%"Collected By Brett Hamlin Spt 23, 2009, Houghton, MI"			
%Latitude	Longitude	Elivation (m)	Distrnce (m)
47.107753	-88.552382	264.981	0
47.107753	-88.552382	265.942	2.491
47.107709	-88.552346	267.865	14.513
47.10756	-88.55236	269.787	31.222
47.107446	-88.552352	270.268	43.923
47.107319	-88.552349	271.71	58.118
47.107179	-88.552304	273.632	74.043
47.10703	-88.552242	275.555	91.292
47.106952	-88.552234	276.516	99.94
47.106777	-88.552141	277.958	120.64
47.106648	-88.552048	278.92	136.754
47.106612	-88.551842	284.207	154.008
47.106627	-88.551765	283.726	160.193
47.106692	-88.551544	283.726	178.551
47.106702	-88.551314	283.726	196.07
47.106744	-88.55108	282.284	214.703
47.106801	-88.550855	282.284	233.285
47.106836	-88.550808	281.323	238.561
47.10689	-88.550736	280.842	246.59
47.106794	-88.550512	278.439	268.132
47.1067	-88.550363	275.074	283.478
47.106637	-88.550266	275.555	293.634
47.106609	-88.549971	274.113	317.831
47.106577	-88.54956	272.671	350.605
47.106569	-88.549296	273.632	371.247
47.106549	-88.549095	274.113	386.758
47.106501	-88.54884	274.594	407.658
47.106524	-88.548462	276.516	436.596
47.106574	-88.548309	275.555	449.389
47.1066	-88.548162	275.074	460.879
47.106608	-88.548148	274.594	462.142
47.106651	-88.548106	274.113	468.739
47.106745	-88.547991	284.207	484.625
47.106816	-88.547855	282.284	498.019
47.106844	-88.547695	280.842	510.649
47.106949	-88.547401	277.478	536.537
47.107036	-88.547173	275.555	556.407
47.10713	-88.546996	272.671	574.716
47.107169	-88.547016	271.71	579.167
47.107251	-88.54703	271.229	588.375
47.107384	-88.546925	268.826	605.139
47.107567	-88.546858	266.903	626.127
47.107686	-88.546739	264.5	642.324
47.107794	-88.546547	263.539	661.238
47.107837	-88.54629	262.097	681.455
47.107886	-88.546108	262.577	696.955
47.107863	-88.545992	262.097	706.209
47.107771	-88.545671	260.174	734.176
47.107797	-88.545376	256.809	757.423
47.107851	-88.545138	256.329	776.796
47.107973	-88.54499	254.887	794.418
47.108128	-88.544997	254.406	811.687
47.108143	-88.544831	252.003	826.161
47.108044	-88.544678	248.158	842.873
47.108068	-88.544484	246.235	857.894
47.108073	-88.544254	244.312	875.418
47.108042	-88.544059	242.39	890.602
47.108137	-88.543913	240.467	906.154
47.108207	-88.543703	239.505	924.171
47.108242	-88.543676	238.544	928.54
47.108381	-88.543557	239.505	946.55
47.108445	-88.543356	239.025	963.7
47.108458	-88.543076	238.064	985.044
47.108478	-88.542882	239.025	1000.025
47.108496	-88.54284	239.025	1003.766
47.108599	-88.54272	238.064	1018.628
47.108747	-88.542514	238.544	1041.483
47.10881	-88.542375	239.025	1054.143
47.108843	-88.542168	240.467	1070.245
47.108825	-88.541912	241.909	1089.736
47.108778	-88.541806	241.909	1099.402
47.108701	-88.541684	241.428	1112.081
47.108637	-88.541394	241.428	1135.99
47.108644	-88.541154	240.948	1154.233
47.108628	-88.540986	240.467	1167.102
47.108529	-88.540766	237.102	1186.912
47.108483	-88.540559	234.218	1203.582
47.108458	-88.540197	231.334	1231.376
47.108446	-88.540118	229.892	1237.539
47.108426	-88.539776	226.047	1263.628
47.108292	-88.539556	225.567	1287.634
47.108126	-88.539475	227.009	1306.987
47.107988	-88.539444	226.047	1322.507
47.107942	-88.539452	227.489	1327.622
47.107809	-88.539471	228.931	1342.578
47.107676	-88.539491	231.815	1357.435
47.107644	-88.539494	231.815	1361.046
47.107434	-88.539378	232.776	1386.496
47.107264	-88.539286	233.257	1407.092
47.107168	-88.539189	236.141	1421.798
47.107086	-88.538992	236.141	1439.502
47.106959	-88.538798	234.218	1459.929
47.106854	-88.53871	231.815	1473.203
47.106824	-88.538709	228.931	1476.501
47.106782	-88.538475	224.605	1495.299
47.106681	-88.538186	222.202	1520.181
47.106641	-88.538121	220.76	1526.689
47.106419	-88.538124	217.395	1552.785
47.106284	-88.538067	216.434	1568.824
47.1062	-88.53788	214.992	1586.079
47.106067	-88.537682	213.55	1607.231
47.105838	-88.537592	214.511	1633.741
47.105683	-88.537636	214.031	1651.706
47.105639	-88.537764	215.953	1662.615
47.105631	-88.537881	215.953	1671.467
47.105683	-88.538113	217.395	1690.253
47.105681	-88.538197	218.357	1696.511
47.10567	-88.538235	219.318	1699.59
47.105668	-88.538406	220.279	1712.65
47.105695	-88.538571	221.241	1725.936
47.105733	-88.538683	221.721	1735.554
47.105826	-88.538902	225.086	1755.177
47.105884	-88.539053	224.605	1768.317
47.105936	-88.539191	227.489	1780.464
47.105956	-88.539368	228.931	1794.111
47.105926	-88.539524	228.45	1806.443
47.105895	-88.539663	229.892	1817.415
47.105784	-88.539751	232.296	1831.988
47.10564	-88.539694	231.815	1848.631
47.105515	-88.539655	229.412	1863.015
47.105481	-88.539675	228.931	1867.062
47.105458	-88.539865	229.412	1886.15
47.105482	-88.539885	229.412	1889.182
47.105586	-88.540045	229.892	1906.407
47.105595	-88.540073	229.412	1908.733
47.10559	-88.54016	231.815	1915.276
47.105588	-88.540248	233.738	1921.904
47.105646	-88.540415	234.699	1936.245
47.105636	-88.540562	237.102	1947.793
47.105664	-88.540715	238.064	1959.779
47.105668	-88.540745	237.583	1962.069
47.105677	-88.540822	237.583	1967.875
47.105765	-88.540964	236.141	1982.597
47.105859	-88.54108	235.66	1996.363
47.105973	-88.541198	232.776	2012.157
47.106115	-88.541334	234.218	2030.83
47.106129	-88.541401	234.699	2036.083
47.10614	-88.541616	239.505	2052.484
47.106159	-88.541776	237.102	2064.828
47.106172	-88.541953	233.738	2078.243
47.106178	-88.541986	233.738	2080.955
47.106261	-88.542186	236.141	2098.905
47.106248	-88.542398	238.064	2115.249
47.106244	-88.542435	239.025	2118.131
47.106223	-88.542504	239.025	2123.776
47.106232	-88.542615	240.948	2132.698
47.106275	-88.542819	243.351	2149.078
47.10628	-88.542848	242.87	2151.275
47.106203	-88.542921	248.158	2161.792
47.106116	-88.542987	248.158	2174.521
47.10614	-88.543174	248.638	2189.272
47.106128	-88.543365	249.119	2203.984
47.106114	-88.543524	251.041	2216.128
47.106136	-88.543589	251.522	2221.717
47.106121	-88.543787	248.158	2237.311
47.106133	-88.543901	249.119	2246.096
47.106174	-88.5441	250.08	2262.407
47.106165	-88.544193	250.561	2269.217
47.106158	-88.544397	254.406	2285.835
47.106072	-88.544536	256.329	2300.238
47.105977	-88.544634	256.809	2313.558
47.105965	-88.544666	257.29	2316.268
47.105916	-88.544868	259.693	2332.58
47.105903	-88.545055	258.732	2346.935
47.105907	-88.545084	259.213	2349.215
47.105863	-88.54529	260.655	2365.918
47.105804	-88.545469	262.097	2381.948
47.105889	-88.545577	260.655	2396.181
47.106012	-88.545623	261.616	2411.85
47.106018	-88.545841	265.942	2430.923
47.105932	-88.545859	266.422	2441.182
47.105803	-88.545951	267.865	2462.11
47.105822	-88.546009	269.307	2466.893
47.105943	-88.546057	269.787	2481.526
47.106052	-88.546078	270.268	2494.286
47.106124	-88.546203	270.748	2506.771
47.106179	-88.546354	271.229	2519.913
47.106156	-88.546518	271.229	2532.703
47.106037	-88.546566	272.19	2546.87
47.105885	-88.546549	272.671	2563.954
47.105784	-88.546691	271.229	2585.106
47.105864	-88.546871	271.71	2602.339
47.105807	-88.547057	273.632	2617.93
47.105746	-88.547183	274.594	2630.464
47.10566	-88.547375	274.594	2648.09
47.105645	-88.547564	276.516	2662.678
47.105613	-88.547751	278.439	2677.358
47.105564	-88.547948	283.246	2693.192
47.105558	-88.548112	283.246	2705.394
47.105548	-88.548206	281.323	2711.354
47.105629	-88.548237	273.632	2713.27
47.105532	-88.548132	295.743	2721.855
47.10564	-88.548112	291.897	2735.538
47.105755	-88.548074	288.052	2748.915
47.105781	-88.547934	288.533	2760.008
47.105928	-88.547895	287.091	2778.602
47.105944	-88.547928	286.13	2781.627
47.106011	-88.54813	285.649	2798.659
47.106001	-88.548296	285.168	2810.249
47.105913	-88.548364	282.284	2821.255
47.105824	-88.548519	282.765	2836.324
47.105757	-88.548681	286.61	2849.907
47.105705	-88.548841	288.533	2863.329
47.105665	-88.548977	284.688	2875.094
47.105588	-88.549224	287.091	2895.56
47.105583	-88.549257	287.091	2898.051
47.105689	-88.549327	282.765	2912.635
47.105716	-88.549225	282.765	2921.354
47.105731	-88.549075	281.804	2933.013
47.105846	-88.548946	279.881	2949.18
47.105933	-88.548764	278.92	2966.347
47.10595	-88.548575	277.958	2980.741
47.106074	-88.548478	276.036	2997.423
47.106233	-88.548416	276.036	3016.322
47.106285	-88.548257	277.478	3029.989
47.10625	-88.548093	278.92	3043.421
47.10616	-88.547987	282.765	3056.301
47.106072	-88.547874	286.61	3069.362
47.10603	-88.547792	288.052	3077.161
47.106072	-88.547589	282.765	3094.096
47.106157	-88.547444	277.958	3108.688
47.106306	-88.547286	274.594	3129.157
47.106374	-88.547235	273.632	3137.747
47.106455	-88.547151	272.19	3148.792
47.106452	-88.546971	272.671	3162.461
47.106488	-88.546628	270.748	3189.654
47.106468	-88.546555	271.229	3195.585
47.106556	-88.546283	268.826	3223.136
47.106585	-88.546155	268.826	3233.76
47.106551	-88.546127	273.152	3235.926
47.106471	-88.54597	271.71	3252.003
47.106483	-88.545669	268.826	3276.044
47.106447	-88.545632	268.826	3280.936
47.106306	-88.545463	266.903	3301.479
47.10624	-88.545126	262.577	3328.582
