%"Collected By Brett Hamlin Nov 09, 2009, Hancock, MI"			
%Latitude	Longitude	Elivation (m)	Distrnce (m)
47.138441	-88.621079	231.209	19.727
47.138723	-88.621249	207.094	30.101
47.138861	-88.621335	198.616	46.529
47.138903	-88.621354	196.436	51.352
47.138883	-88.621245	196.977	59.195
47.1389	-88.621097	202.838	70.672
47.139049	-88.620984	201.127	89.253
47.139185	-88.62101	203.998	104.409
47.139252	-88.62107	210.13	117.718
47.139343	-88.621158	213.98	129.716
47.139451	-88.621265	213.861	143.598
47.139593	-88.621369	213.67	161.091
47.139789	-88.621518	214.84	185.531
47.139978	-88.621688	216.039	210.232
47.14018	-88.621773	215.518	233.622
47.140334	-88.621786	217.709	250.676
47.140483	-88.621767	220.279	267.279
47.140604	-88.621729	221.208	281.118
47.140665	-88.621758	223.469	288.285
47.140814	-88.621813	227.179	305.326
47.140987	-88.621864	227.969	324.914
47.141117	-88.621921	229.619	339.929
47.141225	-88.621961	229.878	352.242
47.141328	-88.622019	231.519	364.546
47.141455	-88.622124	233.389	380.678
47.141561	-88.622252	235.279	396.012
47.141625	-88.622366	239.311	407.307
47.141744	-88.622351	237.698	421.092
47.141754	-88.622304	238.359	424.72
47.141702	-88.622177	242.52	436.375
47.141635	-88.621984	244.529	452.711
47.141591	-88.621849	245.86	464.051
47.141538	-88.621709	244.858	476.223
47.141436	-88.621476	243.678	497.192
47.14134	-88.621172	246.128	522.53
47.141325	-88.620955	254.131	539.153
47.141302	-88.620713	253.729	557.628
47.141275	-88.620482	255.209	575.415
47.141198	-88.620231	260.42	596.726
47.141087	-88.620122	257.289	611.477
47.141059	-88.620107	255.159	614.999
47.140982	-88.61997	255.82	628.435
47.140839	-88.619864	257.32	646.287
47.140703	-88.619631	258.39	669.598
47.140614	-88.619462	261.721	685.831
47.14051	-88.619323	261.13	701.434
47.140366	-88.619202	262.53	719.757
47.140254	-88.619094	264.291	734.59
47.14012	-88.61894	262.61	753.466
47.140066	-88.618805	263.19	765.138
47.140137	-88.618671	259.568	778.066
47.140229	-88.61855	258.718	791.849
47.140325	-88.618416	255.727	806.738
47.140411	-88.618163	251.265	828.196
47.140644	-88.61775	246.555	868.836
47.140699	-88.617686	245.955	876.682
47.140753	-88.617538	245.406	889.054
47.140768	-88.617519	245.287	891.188
47.140833	-88.617511	245.287	898.47
47.140937	-88.617428	244.127	911.649
47.140999	-88.617251	244.708	927.114
47.141046	-88.617138	245.278	937.164
47.141144	-88.616965	246.378	954.221
47.141301	-88.616942	245.309	971.716
47.141516	-88.616947	246.17	995.766
47.141542	-88.616961	246.39	998.794
47.141646	-88.616864	248.011	1013.928
47.141631	-88.616729	248.82	1024.502
47.14158	-88.616602	251.291	1035.576
47.141561	-88.616479	254.832	1045.095
47.14164	-88.616315	255.341	1060.327
47.14165	-88.616192	257.251	1069.681
47.141729	-88.616027	256.25	1085.011
47.141822	-88.615836	255.449	1102.856
47.141841	-88.615792	255.559	1106.756
47.141951	-88.615505	256.849	1131.697
47.141988	-88.615293	258.619	1148.283
47.142052	-88.61513	257.188	1162.642
47.142101	-88.614988	258.33	1174.752
47.142106	-88.614953	258.8	1177.464
47.142164	-88.614745	260.801	1194.497
47.142183	-88.614545	261.42	1209.864
