%"Collected By Brett Hamlin Oct 05, 2009, Houghton, MI"			
%Latitude	Longitude	Elivation (m)	Distrnce (m)
47.103451	-88.517795	201.634	0
47.10346	-88.517778	202.245	2.525
47.103481	-88.517867	191.025	3.211
47.10347	-88.517844	191.404	4.743
47.103463	-88.517832	191.104	5.77
47.10346	-88.517833	192.294	6.388
47.103382	-88.517834	193.375	14.919
47.103218	-88.51786	194.905	33.301
47.103084	-88.517892	197.476	48.466
47.10299	-88.517973	197.904	60.701
47.102892	-88.518172	198.924	79.497
47.102759	-88.518344	202.397	99.271
47.102749	-88.518387	204.416	102.882
47.102769	-88.518402	205.046	105.307
47.102821	-88.518532	205.405	117.055
47.102902	-88.518786	208.266	138.463
47.102929	-88.518936	212.117	150.475
47.102922	-88.519118	215.837	164.35
47.102926	-88.519306	215.055	178.823
47.102913	-88.519539	213.855	196.691
47.102863	-88.51966	211.964	207.282
47.102859	-88.519816	211.444	219.882
47.102924	-88.520081	210.334	241.294
47.103017	-88.520264	209.494	258.853
47.103087	-88.520369	208.564	269.994
47.103223	-88.520385	208.423	285.455
47.103263	-88.520402	208.193	289.948
47.1034	-88.520611	208.424	312.448
47.10339	-88.520815	209.004	328.348
47.103335	-88.521042	209.825	346.945
47.10339	-88.521228	210.044	362.435
47.103414	-88.521435	210.474	378.442
47.103418	-88.521482	210.605	382.055
47.10348	-88.521788	209.973	406.324
47.103507	-88.522048	210.073	426.307
47.103462	-88.522275	208.842	444.261
47.103439	-88.522544	206.732	464.899
47.103467	-88.522796	203.61	484.64
47.103444	-88.522949	201.301	498.449
47.103389	-88.52287	201.002	507.204
47.103299	-88.522811	199.762	519.614
47.103213	-88.522977	200.113	535.52
47.103197	-88.523146	200.773	548.662
47.103259	-88.523344	201.223	565.405
47.103275	-88.523362	201.753	567.246
47.10331	-88.523382	203.333	571.478
47.103311	-88.523381	203.323	571.693
47.103354	-88.523434	203.093	579.793
47.103341	-88.523455	202.872	581.917
47.103282	-88.523552	202.742	591.854
47.103305	-88.523753	203.143	607.484
47.103303	-88.523798	203.013	610.944
47.103281	-88.52405	206.114	630.255
47.103217	-88.524179	204.603	642.509
47.103126	-88.524374	205.873	660.442
47.103045	-88.524537	205.733	675.888
47.102979	-88.524662	206.164	687.874
47.102923	-88.524742	206.654	696.775
47.102902	-88.52485	207.594	705.361
47.102846	-88.524961	208.244	715.837
47.102752	-88.524948	208.204	727.544
47.102676	-88.524876	208.614	737.784
47.102607	-88.524983	209.094	749.088
47.102545	-88.525093	209.904	760.438
47.102486	-88.525178	210.253	770.11
47.102495	-88.525324	210.173	781.246
47.102495	-88.525378	208.361	785.303
47.102544	-88.525395	208.962	791.801
47.102592	-88.525397	208.842	797.164
47.102643	-88.525413	208.902	802.923
47.102704	-88.525578	207.951	817.481
47.102744	-88.525927	204.321	844.412
47.102795	-88.526191	204.972	865.197
47.102796	-88.52622	205.542	867.297
47.102782	-88.526248	208.013	869.871
47.102764	-88.526381	208.823	880.229
47.102749	-88.526497	207.552	889.26
47.102706	-88.526623	209.083	899.864
47.102688	-88.526809	209.472	914.177
47.102676	-88.526848	208.981	917.422
47.102631	-88.526971	208.552	928.002
47.102609	-88.527033	209.592	933.365
47.102592	-88.527184	210.642	944.629
47.102588	-88.527221	211.381	947.57
47.1026	-88.527336	212.721	956.453
47.102585	-88.527421	211.192	962.914
47.102588	-88.527488	211.042	968.042
47.102581	-88.527548	211.852	972.732
47.102556	-88.527628	210.891	978.996
47.102524	-88.527703	210.281	985.122
47.102514	-88.527755	211.302	989.246
47.102516	-88.527782	210.981	991.03
47.102516	-88.527796	211.201	991.903
47.102539	-88.527859	213.082	997.385
47.102551	-88.527932	214.862	1003.071
47.102533	-88.527998	214.461	1008.398
47.102531	-88.528053	213.481	1012.274
47.102519	-88.528133	214.531	1018.36
47.102517	-88.528152	215.452	1019.806
47.102514	-88.528189	216.571	1022.597
47.102534	-88.528296	214.94	1031.284
47.10253	-88.528345	215.601	1034.97
47.102528	-88.528412	215.601	1039.856
47.102589	-88.528521	216.971	1050.596
47.102634	-88.528648	217.601	1061.452
47.102588	-88.528755	215.921	1070.635
47.102508	-88.528822	215.101	1080.915
47.10249	-88.528871	216.692	1085.084
47.102467	-88.528971	216.411	1092.712
47.102484	-88.529074	216.961	1099.689
47.102502	-88.529122	217.301	1103.541
47.102542	-88.52927	217.621	1115.594
47.102634	-88.529543	216.85	1138.688
47.102678	-88.529723	215.92	1153.542
47.102674	-88.529929	215.19	1169.118
47.102652	-88.530068	216.41	1179.901
47.102638	-88.530126	218.611	1184.298
47.102611	-88.530165	219.731	1188.528
47.102582	-88.530312	222.002	1200.396
47.102566	-88.530402	221.181	1207.162
47.102456	-88.530557	217.13	1225.344
47.102436	-88.530564	216.72	1227.591
47.102364	-88.530604	215.92	1235.817
47.102311	-88.530602	214.88	1241.705
47.102206	-88.530583	215.221	1253.116
47.102059	-88.530489	215.69	1270.834
47.102015	-88.530371	217.271	1281.225
47.101981	-88.530201	217.85	1294.863
47.101883	-88.5301	218.67	1308.487
47.101754	-88.530114	220.481	1322.826
47.101631	-88.530201	223.301	1338.125
47.101528	-88.530295	225.681	1351.824
47.101463	-88.530417	226.661	1363.589
47.101366	-88.530489	227.791	1375.694
47.10124	-88.530557	229.491	1390.592
47.10112	-88.530648	231.031	1405.817
47.100996	-88.53088	227.55	1428.414
47.100939	-88.531218	226.269	1454.855
47.100901	-88.531467	226.479	1474.214
47.100912	-88.531725	227.61	1493.921
47.100886	-88.531899	226.809	1507.488
47.100903	-88.532145	226.479	1526.255
47.100896	-88.532615	225.78	1562.014
47.100953	-88.533	228.26	1591.929
47.100986	-88.533285	231.421	1613.834
47.100981	-88.533505	233.061	1630.604
47.10094	-88.533763	234.14	1650.812
47.10084	-88.534042	232.74	1674.731
47.10075	-88.534295	231.019	1696.351
47.100635	-88.534555	228.278	1719.916
47.100502	-88.534815	226.488	1744.567
47.100403	-88.535069	226.148	1766.879
47.100353	-88.535282	226.418	1783.977
47.100292	-88.535514	226.728	1802.891
47.100285	-88.535861	227.528	1829.391
47.100304	-88.53592	227.598	1834.278
47.10039	-88.5362	228.628	1857.898
47.100403	-88.536251	228.337	1861.994
47.100461	-88.536505	228.707	1882.383
47.100503	-88.53663	227.397	1893.007
47.100593	-88.536642	226.999	1903.375
47.100616	-88.536634	226.898	1905.949
47.100671	-88.536624	226.118	1912.046
47.100757	-88.536512	225.628	1924.813
47.100865	-88.536412	227.62	1939.082
47.100988	-88.536352	230.699	1953.714
47.101107	-88.536336	231.729	1966.955
47.101211	-88.536421	231.719	1979.643
47.101311	-88.536396	232.729	1990.896
47.101342	-88.536385	233.349	1994.428
47.101408	-88.536367	234.13	2001.839
47.101497	-88.536387	235.479	2011.741
47.101624	-88.536458	235.279	2026.566
47.101739	-88.536332	236.039	2042.33
47.101743	-88.536147	235.189	2056.217
47.101685	-88.536041	233.448	2066.943
47.101639	-88.536009	231.797	2072.601
47.101586	-88.53597	231.017	2079.207
47.101519	-88.535804	230.548	2094.098
47.101501	-88.53569	230.498	2103.678
47.101524	-88.53562	228.667	2109.55
47.101522	-88.535579	228.098	2113.025
47.101568	-88.535486	228.008	2121.787
47.10157	-88.535341	226.377	2132.771
47.101605	-88.535124	224.627	2149.747
47.101668	-88.535163	223.538	2159.121
47.101751	-88.535185	223.728	2171.507
47.1018	-88.535116	223.048	2179.092
47.101944	-88.534977	223.148	2198.516
47.10201	-88.53495	222.888	2206.091
47.102094	-88.535047	222.938	2218.258
47.102104	-88.535235	223.019	2232.544
47.102112	-88.535437	224.109	2247.825
47.10214	-88.535623	224.639	2262.336
