%"Collected By Brett Hamlin Oct 19, 2009, Calumet, MI"			
%Latitude	Longitude	Elivation (m)	Distrnce (m)
47.23858	-88.46508	380.352	0
47.23858	-88.46508	380.352	0
47.238583	-88.465063	381.567	4.339
47.238552	-88.465174	380.177	13.49
47.238513	-88.465631	378.517	48.404
47.238421	-88.466066	378.928	82.888
47.238431	-88.466219	379.878	94.667
47.238549	-88.466352	380.388	111.395
47.23861	-88.466554	380.608	128.071
47.238681	-88.466809	380.517	149.04
47.2387     -88.467204	381.458	179.196
47.238715	-88.467271	381.608	184.491
47.238724	-88.467612	381.967	211.136
47.238727	-88.467897	381.438	233.313
47.238752	-88.467946	381.137	237.865
47.238831	-88.468257	380.777	263.672
47.238851	-88.468509	380.406	282.958
47.238853	-88.468581	380.506	288.45
47.238918	-88.468847	379.486	310.097
47.238954	-88.469154	377.695	333.757
47.238939	-88.469371	379.486	350.251
47.238973	-88.469616	382.877	369.181
47.239024	-88.46987	386.879	389.315
47.239027	-88.47006	386.408	403.716
47.239038	-88.470262	388.579	419.026
47.23904	-88.470317	389.568	423.156
47.238956	-88.470485	389.228	438.866
47.238905	-88.470493	388.888	444.375
47.238773	-88.470345	389.568	463.662
47.23875	-88.4703	389.598	467.878
47.238661	-88.47003	390.198	490.436
47.238666	-88.469985	390.248	493.913
47.238785	-88.46981	391.697	512.678
47.238816	-88.469511	391.036	535.61
47.238816	-88.469441	390.726	540.887
47.238808	-88.469159	389.185	562.286
47.238744	-88.468857	388.356	586.233
47.23865	-88.468503	386.245	614.482
47.238557	-88.468254	387.116	636.134
47.23853	-88.467929	387.697	661.147
47.238491	-88.467634	386.626	684.388
47.238479	-88.467404	387.046	701.878
47.238397	-88.467137	387.866	724.099
47.238308	-88.467024	388.957	736.993
47.238264	-88.466974	389.597	743.168
47.238195	-88.46701	389.867	753.197
47.238176	-88.467269	390.046	772.947
47.238115	-88.467632	389.757	801.255
47.23806	-88.467801	390.057	815.396
47.237867	-88.468265	388.486	856.737
47.23786	-88.468309	388.326	860.051
47.2379     -88.468451	387.486	871.782
47.237893	-88.468709	387.056	891.507
47.2379     -88.468763	386.866	895.591
47.237963	-88.469002	386.616	915.001
47.238066	-88.469208	386.376	934.306
47.238149	-88.469381	385.546	950.562
47.238173	-88.469594	385.216	966.974
47.2382     -88.469756	384.695	979.554
47.238157	-88.470105	384.676	1006.591
47.238192	-88.470258	385.987	1019.096
47.238275	-88.470315	386.707	1029.852
47.238322	-88.47033	387.938	1035.177
47.23836	-88.470461	390.117	1046.367
47.238421	-88.470628	391.546	1061.002
47.238459	-88.470795	391.386	1074.319
47.238443	-88.471014	391.776	1090.975
47.238431	-88.471234	393.467	1107.625
47.238378	-88.471342	390.785	1117.893
47.238284	-88.471261	387.064	1130.016
47.238219	-88.471108	390.217	1143.481
47.238193	-88.471056	390.596	1148.341
47.238132	-88.470905	390.746	1161.962
47.238154	-88.471007	392.957	1170.288
47.238103	-88.47114	395.377	1181.753
47.238086	-88.471289	395.667	1193.824
47.238149	-88.471548	396.587	1214.629
47.238146	-88.471834	398.347	1236.294
47.238105	-88.472035	397.417	1251.961
47.23801	-88.472136	397.456	1265.021
47.237962	-88.472195	396.035	1272.081
47.238027	-88.472338	397.426	1286.138
47.238166	-88.472497	393.356	1305.462
47.238217	-88.472525	392.576	1311.506
47.238247	-88.472679	400.788	1324.474
47.238232	-88.472843	404.578	1336.973
47.238173	-88.473133	408.559	1359.805
47.238225	-88.473312	410.348	1375.18
47.238346	-88.473503	410.187	1395.006
47.238401	-88.473809	409.646	1419.208
47.238377	-88.474114	408.906	1442.397
47.238378	-88.474177	408.596	1447.166
47.238375	-88.474519	407.405	1473.032
47.238378	-88.474778	405.435	1492.576
47.238315	-88.47501	402.734	1511.449
47.238181	-88.475211	396.712	1532.626
47.238177	-88.47529	395.382	1538.704
47.238148	-88.475599	393.312	1562.455
47.238137	-88.475914	392.703	1586.45
47.238188	-88.476168	392.323	1606.765
47.238284	-88.47635	391.743	1624.203
47.238396	-88.476611	390.013	1647.596
47.238457	-88.476881	389.864	1669.239
47.238489	-88.476962	389.874	1676.293
47.238665	-88.477324	388.224	1710.199
47.238769	-88.477905	377.872	1755.697
47.238777	-88.477998	377.293	1762.779
47.2388     -88.478167	376.993	1775.797
47.238789	-88.478514	376.593	1801.911
47.23878	-88.478825	376.964	1825.458
47.238718	-88.479011	378.534	1841.053
47.23867	-88.479213	381.004	1857.505
47.238698	-88.47937	383.755	1870.015
47.23864	-88.479633	388.195	1890.943
47.23863	-88.479688	388.585	1895.306
47.238548	-88.479986	387.065	1919.558
47.238509	-88.480201	388.495	1936.419
47.238454	-88.480359	386.604	1950.587
47.23835	-88.480475	387.534	1965.015
47.238227	-88.480709	387.454	1987.507
47.238266	-88.480831	385.833	1998.275
47.238354	-88.480798	387.064	2008.68
47.23844	-88.480784	388.354	2018.568
47.238636	-88.480927	390.564	2042.871
47.238731	-88.481134	391.595	2061.824
47.238752	-88.481189	392.055	2066.6
47.238861	-88.481277	392.534	2080.368
47.239037	-88.481374	393.804	2101.545
47.239182	-88.481535	394.604	2121.698
47.23937	-88.481699	398.694	2145.986
47.239459	-88.481837	399.354	2160.448
47.239474	-88.482027	395.083	2174.664
47.239457	-88.482114	391.692	2181.385
47.239457	-88.482364	386.471	2200.423
47.239458	-88.482615	382.661	2219.459
47.239431	-88.4828	381.341	2233.735
47.239398	-88.482988	377.75	2248.442
47.239356	-88.483146	376.401	2261.225
47.23934	-88.483149	377.742	2263.471
47.239289	-88.483037	378.152	2272.151
47.239256	-88.482878	378.232	2284.646
47.239211	-88.482744	380.753	2295.654
47.23915	-88.482748	382.563	2301.858
47.239037	-88.482873	386.263	2316.938
47.238951	-88.48298	384.242	2328.674
47.238862	-88.483099	387.594	2341.983
47.238788	-88.483242	386.273	2354.608
47.238825	-88.483449	386.494	2370.686
47.238819	-88.483491	386.062	2373.929
47.238804	-88.483763	388.373	2394.754
47.238879	-88.483963	390.183	2412.008
47.238918	-88.483977	390.443	2415.886
47.238978	-88.483783	389.682	2431.778
47.239037	-88.483566	387.581	2449.146
47.239112	-88.483427	386.761	2462.116
47.239229	-88.483422	387.061	2469.15
47.239242	-88.483575	385.311	2480.207
47.239231	-88.483716	381.89	2491.228
47.239195	-88.483865	381.34	2503.435
47.239139	-88.484066	385.411	2520.025
47.239138	-88.484238	387.882	2533.061
47.239187	-88.484397	390.082	2546.375
47.239195	-88.484437	391.042	2549.528
47.239198	-88.48463	391.832	2564.187
47.239249	-88.484882	394.674	2584.226
47.239329	-88.485118	395.693	2604.321
47.239446	-88.485209	391.193	2618.192
47.239482	-88.485137	388.093	2624.99
47.239417	-88.484998	384.512	2637.881
47.239324	-88.484851	383.101	2652.908
47.239257	-88.484705	383.512	2665.997
47.239219	-88.484608	384.922	2674.038
47.23921	-88.484415	385.752	2688.46
47.239186	-88.484284	388.432	2698.583
47.23919	-88.484206	391.753	2704.337
47.239299	-88.484212	396.754	2714.473
47.239335	-88.484254	393.622	2716.406
47.239364	-88.484339	393.692	2723.127
47.239384	-88.484358	392.822	2725.807
47.239468	-88.484594	391.551	2746.777
47.239443	-88.484741	390.941	2758.231
47.239476	-88.484875	389.721	2769.013
47.239508	-88.484929	390.002	2774.411
47.239578	-88.485203	387.521	2796.688
47.239564	-88.48537	385.801	2809.034
47.239483	-88.48554	382.611	2824.187
47.239437	-88.485574	378.539	2829.574
47.239369	-88.485502	374.72	2839.139
47.239357	-88.485463	373.149	2842.375
47.239303	-88.485393	372.87	2850.497
47.23923	-88.485345	376.492	2859.32
47.239184	-88.485292	377.812	2865.637
47.239156	-88.485184	379.743	2874.422
47.239152	-88.485134	380.852	2877.699
47.239132	-88.485087	383.883	2881.639
47.239131	-88.48505	384.503	2882.974
47.239118	-88.485042	386.164	2884.111
47.239081	-88.484991	388.424	2889.709
47.239074	-88.484882	392.523	2897.639
47.239035	-88.48481	392.053	2903.167
47.23896	-88.484841	392.522	2911.192
47.238877	-88.484952	394.703	2923.592
47.238854	-88.485017	396.143	2929.045
47.238732	-88.485111	394.391	2944.534
47.238712	-88.485188	394.371	2950.927
47.238729	-88.485348	391.42	2963.077
47.238798	-88.48543	387.84	2973.174
47.238869	-88.485378	385.06	2981.939
47.238999	-88.485381	384.19	2996.291
47.239033	-88.485436	383.9	3001.844
47.239091	-88.4856	383.591	3015.918
47.239078	-88.485722	381.89	3025.184
47.239015	-88.485765	380.409	3032.657
47.238991	-88.485859	381.151	3039.789
47.23888	-88.485868	379.091	3053.069
47.238713	-88.48584	379.111	3072.011
47.238596	-88.485869	376.7	3085.246
47.238596	-88.485798	381.762	3089.154
47.238591	-88.485622	388.083	3100.471
47.238607	-88.485509	391.884	3106.933
47.238598	-88.485488	393.005	3107.525
47.238523	-88.485584	394.894	3118.489
47.238453	-88.485629	395.703	3126.901
47.23843	-88.485778	395.122	3139.524
47.238459	-88.485915	396.082	3150.579
47.238407	-88.486085	393.911	3164.816
47.238373	-88.486215	391.581	3175.23
47.238339	-88.486271	391.281	3180.692
47.238357	-88.486386	388.37	3189.337
47.238335	-88.486548	384.659	3201.542
47.238309	-88.486599	382.239	3206.148
47.23827	-88.486587	381.65	3210.576
47.238225	-88.486543	382.591	3215.847
47.238218	-88.486441	383.771	3223.372
47.238198	-88.486378	384.372	3227.955
47.238121	-88.486399	388.842	3236.838
47.238058	-88.486509	389.682	3247.093
47.238084	-88.486751	389.771	3266.844
47.238124	-88.487028	388.341	3288.41
47.238102	-88.487269	388.47	3306.893
47.238081	-88.487492	384.979	3324.048
47.238113	-88.487777	384.679	3345.979
47.238151	-88.48799	382.539	3362.775
47.238229	-88.488186	383.79	3379.875
47.238269	-88.488307	384.64	3390.067
47.238382	-88.488435	381.091	3405.562
47.238483	-88.488605	381.861	3422.958
47.238543	-88.488773	382.881	3437.27
47.238532	-88.488949	385.112	3450.049
47.238453	-88.489194	386.962	3470.256
47.238437	-88.489216	387.362	3472.523
47.238393	-88.489159	386.341	3480.362
47.238394	-88.489123	386.671	3483.105
47.238398	-88.488945	383.38	3496.448
47.238355	-88.488931	385.25	3501.282
47.238243	-88.488947	384.87	3513.69
47.238125	-88.488986	384.37	3526.866
47.238087	-88.48899	385.15	3531.054
47.237967	-88.488882	394.192	3546.542
47.237873	-88.488816	396.321	3558.068
47.237746	-88.48886	393.09	3570.646
47.237706	-88.488907	389.849	3575.318
47.23764	-88.48904	383.317	3587.112
